,,Coupon_id,auc
0,0,1,0.0
1,0,3,
2,0,6,
3,0,9,
4,0,10,0.8701923076923077
5,0,11,
6,0,15,
7,0,18,
8,0,21,1.0
9,0,22,
10,0,24,
11,0,25,
12,0,26,
13,0,27,0.875
14,0,28,0.75
15,0,29,
16,0,32,
17,0,33,1.0
18,0,35,0.8
19,0,36,0.6666666666666667
20,0,39,
21,0,40,0.75
22,0,41,
23,0,43,
24,0,45,
25,0,48,0.8
26,0,49,
27,0,51,0.42045454545454547
28,0,53,0.8427586206896551
29,0,54,0.375
30,0,57,1.0
31,0,59,
32,0,60,0.8
33,0,61,0.8333333333333334
34,0,65,0.0
35,0,69,1.0
36,0,70,1.0
37,0,73,1.0
38,0,74,0.5909090909090908
39,0,76,
40,0,77,
41,0,82,
42,0,83,1.0
43,0,90,0.33333333333333337
44,0,91,1.0
45,0,92,
46,0,93,
47,0,94,0.8778846153846155
48,0,98,0.9259259259259259
49,0,99,
50,0,100,
51,0,102,0.2222222222222222
52,0,103,1.0
53,0,104,0.8206521739130435
54,0,107,
55,0,109,1.0
56,0,110,
57,0,114,
58,0,115,1.0
59,0,119,
60,0,120,
61,0,121,
62,0,125,0.17647058823529416
63,0,129,1.0
64,0,132,
65,0,133,
66,0,137,
67,0,138,
68,0,143,
69,0,144,0.4
70,0,145,0.9444444444444445
71,0,148,0.9259259259259258
72,0,154,
73,0,160,0.8857142857142857
74,0,163,1.0
75,0,165,0.8863406795224976
76,0,166,
77,0,174,0.875
78,0,179,0.9027777777777778
79,0,184,0.91162109375
80,0,185,
81,0,189,
82,0,193,0.0
83,0,197,0.0
84,0,202,
85,0,204,1.0
86,0,208,0.7708333333333333
87,0,209,0.8
88,0,211,0.971830985915493
89,0,213,
90,0,215,
91,0,218,1.0
92,0,223,
93,0,224,
94,0,229,0.89375
95,0,231,
96,0,234,1.0
97,0,235,
98,0,237,
99,0,239,
100,0,241,
101,0,242,
102,0,244,0.6953125
103,0,246,0.0
104,0,247,
105,0,249,1.0
106,0,250,
107,0,261,
108,0,267,1.0
109,0,269,0.982905982905983
110,0,270,0.819327731092437
111,0,275,
112,0,276,
113,0,279,0.8285714285714285
114,0,280,0.0
115,0,282,0.4888888888888889
116,0,283,0.75
117,0,284,
118,0,286,0.9821428571428572
119,0,287,
120,0,288,
121,0,290,
122,0,291,0.5
123,0,292,
124,0,299,1.0
125,0,308,
126,0,313,0.9333333333333333
127,0,318,1.0
128,0,319,
129,0,325,1.0
130,0,330,
131,0,331,0.9791666666666666
132,0,332,0.8549408921690289
133,0,333,1.0
134,0,336,0.7636554621848739
135,0,337,1.0
136,0,340,0.5769230769230769
137,0,342,
138,0,344,0.75
139,0,345,
140,0,347,0.967741935483871
141,0,350,
142,0,355,1.0
143,0,356,0.9333333333333333
144,0,357,0.9377085650723026
145,0,358,
146,0,361,
147,0,364,
148,0,365,
149,0,367,1.0
150,0,370,0.9
151,0,372,
152,0,375,1.0
153,0,376,0.30434782608695654
154,0,379,
155,0,381,1.0
156,0,382,1.0
157,0,383,
158,0,384,
159,0,387,0.9666666666666667
160,0,393,
161,0,396,
162,0,400,
163,0,401,
164,0,402,0.7142857142857143
165,0,403,0.9761904761904763
166,0,404,
167,0,405,
168,0,408,0.75
169,0,411,
170,0,412,1.0
171,0,415,0.9345679012345679
172,0,417,
173,0,421,
174,0,422,
175,0,423,0.7851851851851852
176,0,427,
177,0,428,
178,0,432,
179,0,435,0.9130434782608696
180,0,436,
181,0,437,
182,0,438,
183,0,440,0.90625
184,0,442,1.0
185,0,444,
186,0,445,1.0
187,0,446,0.8207070707070707
188,0,447,1.0
189,0,450,
190,0,451,
191,0,453,
192,0,454,0.9117647058823529
193,0,459,1.0
194,0,460,0.9058441558441559
195,0,462,0.16666666666666669
196,0,463,0.9661016949152543
197,0,465,0.75
198,0,468,1.0
199,0,470,1.0
200,0,472,1.0
201,0,474,0.2916666666666667
202,0,478,
203,0,479,
204,0,481,1.0
205,0,485,1.0
206,0,491,
207,0,492,
208,0,493,
209,0,495,
210,0,496,
211,0,498,0.7333333333333334
212,0,499,
213,0,503,0.8876404494382022
214,0,505,
215,0,510,
216,0,512,1.0
217,0,513,
218,0,514,
219,0,521,
220,0,524,1.0
221,0,525,0.5666666666666667
222,0,529,0.0
223,0,531,0.8333333333333334
224,0,538,
225,0,539,
226,0,541,1.0
227,0,542,1.0
228,0,543,1.0
229,0,544,
230,0,548,1.0
231,0,549,
232,0,552,1.0
233,0,553,0.7777777777777778
234,0,556,0.9714285714285714
235,0,558,0.5
236,0,562,1.0
237,0,565,
238,0,569,
239,0,570,
240,0,571,1.0
241,0,573,
242,0,576,
243,0,579,
244,0,582,0.9871794871794871
245,0,583,
246,0,585,0.6666666666666666
247,0,588,
248,0,591,1.0
249,0,593,1.0
250,0,598,
251,0,601,0.6666666666666667
252,0,603,0.6944444444444444
253,0,605,1.0
254,0,608,0.9444444444444444
255,0,610,0.30000000000000004
256,0,611,
257,0,616,0.7833333333333333
258,0,617,
259,0,618,
260,0,619,0.987012987012987
261,0,624,
262,0,625,0.75
263,0,626,
264,0,628,
265,0,631,
266,0,634,
267,0,635,1.0
268,0,636,0.6019736842105263
269,0,639,
270,0,640,
271,0,642,
272,0,643,
273,0,646,0.33333333333333337
274,0,647,1.0
275,0,650,1.0
276,0,651,0.5714285714285714
277,0,652,0.895
278,0,657,
279,0,658,0.375
280,0,660,
281,0,661,
282,0,663,0.7348484848484849
283,0,664,
284,0,665,0.0
285,0,666,
286,0,667,
287,0,672,0.8461538461538461
288,0,673,
289,0,676,0.8181818181818181
290,0,677,0.7951127819548872
291,0,681,0.9655765920826161
292,0,682,
293,0,684,
294,0,687,0.9553571428571429
295,0,689,
