,,Coupon_id,auc
0,0,1,
1,0,2,1.0
2,0,3,
3,0,6,
4,0,9,
5,0,10,1.0
6,0,11,
7,0,12,
8,0,16,
9,0,22,
10,0,24,
11,0,25,0.0
12,0,32,
13,0,33,0.88
14,0,35,0.30000000000000004
15,0,36,
16,0,40,
17,0,43,1.0
18,0,47,
19,0,48,
20,0,57,1.0
21,0,60,
22,0,66,0.967741935483871
23,0,70,
24,0,73,
25,0,75,
26,0,89,
27,0,92,
28,0,93,
29,0,94,0.7484472049689441
30,0,98,0.9757575757575757
31,0,100,
32,0,103,
33,0,107,0.8571428571428572
34,0,112,0.9545454545454545
35,0,115,1.0
36,0,117,1.0
37,0,119,
38,0,120,1.0
39,0,121,1.0
40,0,123,
41,0,125,
42,0,128,
43,0,130,
44,0,131,0.7532051282051282
45,0,132,
46,0,133,
47,0,137,
48,0,138,
49,0,142,1.0
50,0,148,0.6666666666666667
51,0,153,1.0
52,0,164,0.851063829787234
53,0,166,
54,0,174,
55,0,176,0.5
56,0,179,0.71875
57,0,181,
58,0,184,0.8800000000000001
59,0,185,0.0
60,0,189,
61,0,191,
62,0,194,
63,0,196,
64,0,209,
65,0,211,0.7781818181818182
66,0,216,0.5833333333333333
67,0,219,
68,0,220,
69,0,225,0.0
70,0,229,1.0
71,0,237,0.0
72,0,241,
73,0,242,
74,0,243,0.43589743589743585
75,0,244,0.6770833333333334
76,0,245,0.8333333333333334
77,0,247,
78,0,252,0.8571428571428571
79,0,254,
80,0,256,0.875
81,0,260,
82,0,261,
83,0,264,
84,0,269,1.0
85,0,270,
86,0,271,
87,0,275,
88,0,280,
89,0,282,0.8333333333333333
90,0,283,
91,0,284,
92,0,287,
93,0,298,
94,0,299,0.8333333333333334
95,0,301,0.8214285714285714
96,0,306,1.0
97,0,313,0.308080808080808
98,0,314,0.4285714285714286
99,0,319,0.6875
100,0,321,
101,0,324,0.16666666666666663
102,0,325,
103,0,326,
104,0,337,0.9285714285714285
105,0,339,
106,0,342,1.0
107,0,344,0.7777777777777779
108,0,345,
109,0,346,0.0
110,0,353,
111,0,356,0.9814814814814814
112,0,358,0.8164861612515043
113,0,361,1.0
114,0,370,
115,0,371,1.0
116,0,378,
117,0,379,
118,0,380,0.5178571428571429
119,0,381,
120,0,382,0.75
121,0,383,
122,0,384,1.0
123,0,386,
124,0,387,0.967032967032967
125,0,400,
126,0,401,1.0
127,0,403,1.0
128,0,405,1.0
129,0,406,
130,0,408,
131,0,413,0.0
132,0,417,0.7142857142857143
133,0,418,0.5
134,0,420,
135,0,421,
136,0,423,0.7788461538461539
137,0,426,
138,0,427,1.0
139,0,428,1.0
140,0,430,0.6363636363636364
141,0,432,1.0
142,0,433,0.6666666666666667
143,0,435,
144,0,437,
145,0,438,
146,0,439,
147,0,441,1.0
148,0,442,1.0
149,0,445,
150,0,446,0.7717864923747277
151,0,450,0.9230769230769231
152,0,457,0.5757575757575758
153,0,459,0.6666666666666667
154,0,460,0.7553191489361702
155,0,463,1.0
156,0,465,
157,0,467,
158,0,468,
159,0,471,1.0
160,0,473,0.5277777777777777
161,0,474,
162,0,477,
163,0,481,0.5454545454545454
164,0,485,0.5
165,0,492,
166,0,495,
167,0,499,
168,0,500,
169,0,501,
170,0,503,
171,0,506,
172,0,513,0.703125
173,0,514,
174,0,519,0.5
175,0,521,
176,0,523,
177,0,524,0.8888888888888888
178,0,528,1.0
179,0,530,
180,0,532,
181,0,542,0.6571428571428571
182,0,543,
183,0,544,
184,0,546,
185,0,549,
186,0,552,
187,0,554,
188,0,555,1.0
189,0,557,0.6611607142857142
190,0,561,1.0
191,0,562,
192,0,563,0.24137931034482762
193,0,565,
194,0,567,0.9285714285714286
195,0,570,
196,0,582,
197,0,585,
198,0,586,0.7142857142857143
199,0,588,
200,0,589,
201,0,590,
202,0,592,
203,0,598,
204,0,601,0.7857142857142857
205,0,602,
206,0,606,
207,0,608,
208,0,609,1.0
209,0,611,
210,0,617,
211,0,619,0.4285714285714286
212,0,621,
213,0,624,1.0
214,0,630,1.0
215,0,631,
216,0,633,0.5972222222222222
217,0,634,
218,0,636,1.0
219,0,637,0.8718750000000001
220,0,643,
221,0,650,
222,0,654,0.0
223,0,657,0.4782608695652174
224,0,658,
225,0,661,
226,0,665,0.25
227,0,666,0.75
228,0,667,0.8524590163934427
229,0,672,
230,0,673,
231,0,676,
232,0,677,0.22222222222222224
233,0,678,0.33333333333333337
234,0,679,
235,0,680,0.19999999999999996
236,0,681,1.0
237,0,685,
238,0,688,
239,0,692,1.0
240,0,696,
241,0,697,
242,0,702,
243,0,712,
244,0,713,
245,0,718,0.8870967741935484
246,0,727,0.0
247,0,728,
248,0,732,0.7142857142857142
249,0,735,0.0
250,0,736,
251,0,737,
252,0,738,
253,0,740,
254,0,743,
255,0,745,
256,0,747,0.8461538461538461
257,0,748,
258,0,751,1.0
259,0,753,0.9416666666666667
260,0,754,
261,0,755,
262,0,756,
263,0,759,
264,0,760,
265,0,765,1.0
266,0,768,
267,0,771,
268,0,774,
269,0,780,1.0
270,0,783,
271,0,784,1.0
272,0,793,
273,0,794,1.0
274,0,796,
275,0,798,
276,0,799,0.09999999999999998
277,0,800,
278,0,801,
279,0,803,
280,0,808,0.8525
281,0,810,
282,0,812,0.0
283,0,813,
284,0,816,
285,0,820,1.0
286,0,823,
287,0,826,
288,0,830,
289,0,832,
290,0,835,
291,0,841,1.0
292,0,843,
293,0,845,
294,0,846,
295,0,847,0.5714285714285714
296,0,852,
297,0,863,0.25
298,0,869,
299,0,871,0.8592644978783592
300,0,873,
301,0,875,
302,0,876,0.95
303,0,882,
304,0,886,
305,0,887,
306,0,889,
307,0,891,1.0
308,0,906,
309,0,908,0.8241758241758242
310,0,909,1.0
311,0,919,
312,0,924,1.0
313,0,928,
314,0,929,0.5
315,0,931,0.0
316,0,934,1.0
317,0,936,
318,0,938,1.0
319,0,939,
320,0,942,0.5
321,0,944,0.8431372549019608
322,0,947,
323,0,949,
324,0,951,
325,0,952,
326,0,953,
327,0,957,
328,0,960,
329,0,962,
330,0,963,
331,0,966,
332,0,968,0.33333333333333337
333,0,972,
334,0,977,
335,0,978,0.8883333333333333
336,0,980,1.0
337,0,982,
338,0,987,1.0
339,0,989,0.33333333333333337
340,0,990,
341,0,993,
342,0,995,1.0
343,0,1002,1.0
344,0,1005,
345,0,1006,0.8857142857142857
346,0,1015,0.8206751054852321
347,0,1016,1.0
348,0,1018,
349,0,1019,0.5
350,0,1020,0.26666666666666666
351,0,1022,
352,0,1024,0.9411764705882353
353,0,1025,
354,0,1029,0.5714285714285714
355,0,1030,
356,0,1033,
357,0,1036,
358,0,1038,
359,0,1040,
360,0,1043,
361,0,1044,1.0
362,0,1045,
363,0,1052,
364,0,1056,1.0
365,0,1058,
366,0,1060,1.0
367,0,1061,
368,0,1063,0.35
369,0,1064,
370,0,1068,0.7788600288600289
371,0,1071,
372,0,1072,
373,0,1075,
374,0,1078,
375,0,1082,
376,0,1083,
377,0,1084,0.0
378,0,1085,1.0
379,0,1086,
380,0,1087,0.4375
381,0,1088,
382,0,1090,
383,0,1091,0.8703703703703703
384,0,1094,
385,0,1096,0.9469387755102041
386,0,1101,
387,0,1102,
388,0,1103,
389,0,1106,
390,0,1108,0.8
391,0,1109,0.3
392,0,1111,
393,0,1112,
394,0,1113,
395,0,1114,0.49259259259259264
396,0,1127,1.0
397,0,1128,
398,0,1130,
399,0,1131,0.42857142857142855
400,0,1139,
401,0,1140,
402,0,1142,0.33333333333333337
403,0,1143,0.6666666666666666
404,0,1145,0.33333333333333337
405,0,1146,
406,0,1147,1.0
407,0,1150,1.0
408,0,1151,
409,0,1154,0.0
410,0,1159,
411,0,1160,
412,0,1162,1.0
413,0,1163,
414,0,1165,
415,0,1166,
416,0,1168,
417,0,1177,
418,0,1179,0.36549707602339176
419,0,1185,0.9
420,0,1188,
421,0,1195,1.0
422,0,1196,
423,0,1201,0.9166666666666667
424,0,1203,
425,0,1204,0.0
426,0,1216,0.8301886792452831
427,0,1219,0.6434108527131783
428,0,1222,0.6434108527131782
429,0,1225,0.8119834710743803
430,0,1227,0.0
431,0,1228,
432,0,1229,0.7526881720430108
433,0,1230,
434,0,1235,
435,0,1236,
436,0,1238,1.0
437,0,1246,
438,0,1249,
439,0,1251,
440,0,1253,
441,0,1259,1.0
442,0,1261,1.0
443,0,1265,1.0
444,0,1267,
445,0,1270,
446,0,1272,
447,0,1275,
448,0,1276,
449,0,1277,1.0
450,0,1278,1.0
451,0,1284,
452,0,1287,
453,0,1289,0.8166666666666667
454,0,1292,1.0
455,0,1293,
456,0,1295,1.0
457,0,1304,
458,0,1310,
459,0,1311,0.7706018518518518
460,0,1314,0.0
461,0,1322,0.0
462,0,1324,
463,0,1330,
464,0,1332,
465,0,1333,
466,0,1335,1.0
467,0,1338,
468,0,1339,
469,0,1341,
470,0,1342,1.0
471,0,1344,0.33333333333333337
472,0,1346,
473,0,1349,
474,0,1356,
475,0,1357,0.6470588235294117
476,0,1362,0.9166666666666667
477,0,1365,
478,0,1368,
479,0,1371,
480,0,1372,
481,0,1380,
482,0,1382,
483,0,1384,
484,0,1394,
485,0,1404,0.9516129032258064
486,0,1406,
487,0,1410,
488,0,1412,0.6428571428571428
489,0,1413,
490,0,1416,
491,0,1417,
492,0,1418,
493,0,1421,0.25
494,0,1422,0.5
495,0,1423,
496,0,1424,
497,0,1425,
498,0,1429,0.6388888888888888
499,0,1430,
500,0,1431,
501,0,1432,0.888888888888889
502,0,1435,0.0
503,0,1436,
504,0,1439,1.0
505,0,1441,0.25
506,0,1442,
507,0,1444,
508,0,1451,0.7329306722689075
509,0,1452,
510,0,1453,
511,0,1456,
512,0,1458,0.0
513,0,1460,0.49193548387096775
514,0,1461,0.8553359683794467
515,0,1462,
516,0,1465,
517,0,1471,
518,0,1472,1.0
519,0,1476,0.9107142857142857
520,0,1482,0.16666666666666663
521,0,1483,
522,0,1485,0.6
523,0,1496,
524,0,1498,
525,0,1499,
526,0,1501,1.0
527,0,1508,
528,0,1511,0.4545454545454546
529,0,1512,0.7291666666666666
530,0,1514,
531,0,1516,
532,0,1519,
533,0,1521,
534,0,1523,0.0
535,0,1524,
536,0,1532,0.8391118778495974
537,0,1533,1.0
538,0,1539,1.0
539,0,1546,
540,0,1548,0.875
541,0,1552,0.4
542,0,1553,0.6952380952380951
543,0,1561,0.8333333333333334
544,0,1567,0.36363636363636365
545,0,1576,
546,0,1589,
547,0,1596,
548,0,1601,
549,0,1603,
550,0,1604,
551,0,1605,
552,0,1611,
553,0,1615,
554,0,1616,0.573902027027027
555,0,1619,
556,0,1621,
557,0,1625,
558,0,1629,0.375
559,0,1631,
560,0,1632,
561,0,1634,0.0
562,0,1635,1.0
563,0,1637,
564,0,1643,0.875
565,0,1647,1.0
